id,title,description,availability,condition,price,link,image_link,brand
PouchS1KG-SakuraLatte-1731183884836570692,Sakura Latte Powder 1kg,"Sakura Latte Powder 1kg dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 1 Kg Bubuk Minuman SAKURA LATTE Premium Powder Sakura Latte Homelab terbuat dari extract bunga sakura dicampur dengan coconut creamer terbaik yang menghasilkan rasa manis yang lembut dan aromatic sakura yang menyegarkan. Enak diseduh dengan susu dan susu kedelai. Cara seduh sakura latte dingin: - Gunakan 20g bubuk sak Checkout mudah melalui marketplace resmi Homelab.",in stock,new,495900 IDR,https://www.homelab.co.id/shop/sakura-latte-powder-1kg-70692-pouchs1kg-sakuralatte,https://cf.shopee.co.id/file/3dbd6ef9611bb57e4fca641d242dd0b8,Homelab
Pouch1KG-PureTaro,Pure Taro Powder 1kg,"Pure Taro Powder 1kg dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Pure Taro Premium (No sugar / tidak manis) Nett Weight : 1kg Packaging: Aluminium Foil Grounded Taro root with hint of vanilla Nikmati bubuk minuman talas murni 100% yang lezat dan tanpa gula tambahan. Dikemas dalam aluminium foil dengan berat bersih 1kg. Bubuk Talas Murni : Dibuat dari talas murni yang dihaluska Checkout mudah melalui marketplace resmi Homelab.",in stock,new,1000000 IDR,https://www.homelab.co.id/shop/pouch1kg-puretaro,https://cf.shopee.co.id/file/id-11134207-7quky-ljz7jmgd699je6,Homelab
BD3Pouch1KG-MatchaChocoHojicha,PROMO Paket 3 Bungkus Premium Powder Matcha..... - MIX 3 RASA,"PROMO Paket 3 Bungkus Premium Powder Matcha..... varian MIX 3 RASA dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. SPECIAL PROMO APRIL Normal Price 3 Bungkus 1.050.000 PROMO TERBATAS 3 Bungkus Hanya 899,000 Bubuk Matcha Premium Terbuat dari Matcha pilihan yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Matcha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20gram (1 1/2sendo Checkout mudah melalui marketplace resmi Homelab.",in stock,new,1450000 IDR,https://www.homelab.co.id/shop/bd3pouch1kg-matchachocohojicha,https://cf.shopee.co.id/file/id-11134207-7r98x-lykkfqckk6p452,Homelab
BD3Pouch1KG-Matcha,PROMO Paket 3 Bungkus Premium Powder Matcha..... - 3 MATCHA,"PROMO Paket 3 Bungkus Premium Powder Matcha..... varian 3 MATCHA dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. SPECIAL PROMO APRIL Normal Price 3 Bungkus 1.050.000 PROMO TERBATAS 3 Bungkus Hanya 899,000 Bubuk Matcha Premium Terbuat dari Matcha pilihan yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Matcha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20gram (1 1/2sendo Checkout mudah melalui marketplace resmi Homelab.",in stock,new,1450000 IDR,https://www.homelab.co.id/shop/bd3pouch1kg-matcha,https://cf.shopee.co.id/file/id-11134207-7r98x-lykkfqckk6p452,Homelab
shopee-4381584636,100% Dark Chocolate & Pure Taro Premium 100.....,"100% Dark Chocolate & Pure Taro Premium 100..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-4381584636,https://cf.shopee.co.id/file/c3d6d9d9ca0b67b9637e06fe6b9bfa8e,Homelab
shopee-6055132871,2 Bungkus Chocolate Powder / Bubuk Chocolat...,"2 Bungkus Chocolate Powder / Bubuk Chocolat... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,169900 IDR,https://www.homelab.co.id/shop/shopee-6055132871,https://cf.shopee.co.id/file/2d8772736b0376ee07046c46f45767d2,Homelab
shopee-9436147393,3 X 100% Dark Chocolate Powder / Bubuk Cokl.....,"3 X 100% Dark Chocolate Powder / Bubuk Cokl..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-9436147393,https://cf.shopee.co.id/file/fe6efd8317e9bb9c685d81380e00f7cb,Homelab
shopee-6651280879,98% Dark Chocolate Powder / Bubuk Coklat As.....,"98% Dark Chocolate Powder / Bubuk Coklat As..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,149990 IDR,https://www.homelab.co.id/shop/shopee-6651280879,https://cf.shopee.co.id/file/a40c1e2d0ca9c4d23ffe8530457e09f0,Homelab
shopee-17278045774,Bubuk Minuman BLACK SESAME LATTE - Premium......,"Bubuk Minuman BLACK SESAME LATTE - Premium...... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-17278045774,https://cf.shopee.co.id/file/76031b25c51b42f52d69a07c5dedebba,Homelab
shopee-9538613820,Bubuk Minuman Coklat Premium / Chocolate Po.....,"Bubuk Minuman Coklat Premium / Chocolate Po..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-9538613820,https://cf.shopee.co.id/file/7004400a3494001f6f83381bba1fddb0,Homelab
shopee-3651374425,Dark Chocolate Powder 98% / Bubuk Coklat As.....,"Dark Chocolate Powder 98% / Bubuk Coklat As..... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,73850 IDR,https://www.homelab.co.id/shop/shopee-3651374425,https://cf.shopee.co.id/file/id-11134207-7ra0h-mbc6p1f0xvug12,Homelab
shopee-10137321760,Paket 6 Bubuk Minuman Premium Matcha / Choc...,"Paket 6 Bubuk Minuman Premium Matcha / Choc... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,509990 IDR,https://www.homelab.co.id/shop/shopee-10137321760,https://cf.shopee.co.id/file/ddeb031c21f8120c51e73ac73cc702bb,Homelab
shopee-7449193036,Promo Beli Chocolate Powder 2 Bungkus - Gra...,"Promo Beli Chocolate Powder 2 Bungkus - Gra... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-7449193036,https://cf.shopee.co.id/file/38e4f582443ebbe84302ea2552255392,Homelab
shopee-5149195190,Promo Beli Hojicha Powder 2 Bungkus - Grati...,"Promo Beli Hojicha Powder 2 Bungkus - Grati... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-5149195190,https://cf.shopee.co.id/file/3b58f13838fd45c773aa106788b5827c,Homelab
shopee-5875411735,Promo Beli Paket 3 Bungkus Premium Powder -...,"Promo Beli Paket 3 Bungkus Premium Powder -... dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-5875411735,https://cf.shopee.co.id/file/e2e7795e2304f807ab03de130cbc7054,Homelab
shopee-17071948021,Sakura Cookie Sandwich - Homelab x Nichi Nichi,"Sakura Cookie Sandwich - Homelab x Nichi Nichi dari Homelab cocok untuk membuat minuman cafe-style dengan rasa konsisten dan mudah disajikan. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-17071948021,https://cf.shopee.co.id/file/211644f7a51db6bf7932ce692a50770e,Homelab
Kain-Hijau,Tea Cloth / Tea Towel - Homelab Serbet Teh... - Hijau,"Tea Cloth / Tea Towel - Homelab Serbet Teh... varian Hijau dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Serbet Teh Katun Bordir Ukuran: Hijau = 26 cm x 18 cm Biru = 25 cm x 28 cm Cokelat = 29 cm x Warna: Sesuai gambar * Bahan: Terbuat dari serat berkualitas tinggi dengan daya serap yang optimal, sempurna untuk menjaga area tetap bersih dan kering. * Desain: Beragam motif bergaya Jepang yang terinspirasi dari Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,49990 IDR,https://www.homelab.co.id/shop/kain-hijau,https://cf.shopee.co.id/file/id-11134207-7rbk5-m9eblt2uw21q5a,Homelab
Kain-Biru,Tea Cloth / Tea Towel - Homelab Serbet Teh... - Biru,"Tea Cloth / Tea Towel - Homelab Serbet Teh... varian Biru dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Serbet Teh Katun Bordir Ukuran: Hijau = 26 cm x 18 cm Biru = 25 cm x 28 cm Cokelat = 29 cm x Warna: Sesuai gambar * Bahan: Terbuat dari serat berkualitas tinggi dengan daya serap yang optimal, sempurna untuk menjaga area tetap bersih dan kering. * Desain: Beragam motif bergaya Jepang yang terinspirasi dari Checkout mudah melalui marketplace resmi Homelab.",in stock,new,49990 IDR,https://www.homelab.co.id/shop/kain-biru,https://cf.shopee.co.id/file/id-11134207-7rbk5-m9eblt2uw21q5a,Homelab
Kain-Cokelat,Tea Cloth / Tea Towel - Homelab Serbet Teh... - Cokelat,"Tea Cloth / Tea Towel - Homelab Serbet Teh... varian Cokelat dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Serbet Teh Katun Bordir Ukuran: Hijau = 26 cm x 18 cm Biru = 25 cm x 28 cm Cokelat = 29 cm x Warna: Sesuai gambar * Bahan: Terbuat dari serat berkualitas tinggi dengan daya serap yang optimal, sempurna untuk menjaga area tetap bersih dan kering. * Desain: Beragam motif bergaya Jepang yang terinspirasi dari Checkout mudah melalui marketplace resmi Homelab.",in stock,new,49990 IDR,https://www.homelab.co.id/shop/kain-cokelat,https://cf.shopee.co.id/file/id-11134207-7rbk5-m9eblt2uw21q5a,Homelab
PouchS200gr-Hojicha,Bubuk Minuman Hojicha Premium / Roasted Gre..... - 200g,"Bubuk Minuman Hojicha Premium / Roasted Gre..... varian 200g dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Bubuk Hojicha Premium (Manis) Terbuat dari daun teh yang diroasting / panggang yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Hojicha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20 gram (1 1/2 sendok) di campur dengan susu UHT/Segar/soy milk secukupnya Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,128990 IDR,https://www.homelab.co.id/shop/pouchs200gr-hojicha,https://cf.shopee.co.id/file/6d60ee96db347f8f48d0fa8b4b28e2f6,Homelab
Toples100gr-PureHojicha-1729507684937206340,Pure Hojicha Powder - 100g,"Pure Hojicha Powder varian 100g dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Pure Hojicha Bruto: 110 gram Netto: 100g Tanpa campuran, Asli pure Hojicha! (Murni) Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep. Aroma sangat kuat dan sangat harum! Cocok buat diminum langsung seduh dengan air panas & buat menu makanan / buat kue. Tersedia juga Checkout mudah melalui marketplace resmi Homelab.",in stock,new,215990 IDR,https://www.homelab.co.id/shop/pure-hojicha-powder-06340-toples100gr-purehojicha,https://cf.shopee.co.id/file/f991837818a07576b962616310de67dd,Homelab
Toples100gr-PureHojicha-1729387226683770436,Pure Hojicha Powder - 100g,"Pure Hojicha Powder varian 100g dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Pure Hojicha Bruto: 110 gram Netto: 100g Tanpa campuran, Asli pure Hojicha! (Murni) Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep. Aroma sangat kuat dan sangat harum! Cocok buat diminum langsung seduh dengan air panas & buat menu makanan / buat kue. Tersedia juga Checkout mudah melalui marketplace resmi Homelab.",in stock,new,215990 IDR,https://www.homelab.co.id/shop/pure-hojicha-powder-70436-toples100gr-purehojicha,https://cf.shopee.co.id/file/f991837818a07576b962616310de67dd,Homelab
Toples200gr-PureHojicha-1729387226683770436,Pure Hojicha Powder - 200g,"Pure Hojicha Powder varian 200g dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Pure Hojicha Bruto: 110 gram Netto: 100g Tanpa campuran, Asli pure Hojicha! (Murni) Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep. Aroma sangat kuat dan sangat harum! Cocok buat diminum langsung seduh dengan air panas & buat menu makanan / buat kue. Tersedia juga Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,399990 IDR,https://www.homelab.co.id/shop/pure-hojicha-powder-70436-toples200gr-purehojicha,https://cf.shopee.co.id/file/f991837818a07576b962616310de67dd,Homelab
BD2Pouch200gr-MatchaHojicha,Bubuk / Powder Matcha & Hojicha Premium,"Bubuk / Powder Matcha & Hojicha Premium dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. PAKET BUNDLE PROMO! Beli 2 bungkus harga normal 85rb x 2bks = 170.000 Promo Oktober jadi 159.000 Dapat 2 bungkus masing-masing 200g (total 400g) Bubuk Matcha Premium Terbuat dari Matcha pilihan yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Matcha sudah dicampur de Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,179990 IDR,https://www.homelab.co.id/shop/bd2pouch200gr-matchahojicha,https://cf.shopee.co.id/file/e4ed3b23dca82a5a0a540ee70708c2a5,Homelab
Toples200gr-PureHojicha-1731183889920067140,Pure Hojicha 200g,"Pure Hojicha 200g dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. 100% Pure Hojicha Netto: 200g Tanpa campuran, Asli pure Hojicha! (Murni) Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep. Aroma sangat kuat dan sangat harum! Cocok buat diminum langsung seduh dengan air panas amp; buat menu makanan / buat kue. Apa itu Hojicha? Hojicha merupaka Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,399990 IDR,https://www.homelab.co.id/shop/pure-hojicha-powder-67140-toples200gr-purehojicha,https://cf.shopee.co.id/file/4a0a7f54349b086a13698c0202e7336f,Homelab
PouchS1KG-Hojicha,Bubuk / Hojicha Powder Premium Grade - 1kg,"Bubuk / Hojicha Powder Premium Grade - 1kg dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. SPECIAL PROMO! Bubuk Hojicha Premium Terbuat dari daun teh yang diroasting / panggang yang diimpor langsung dari Jepang. Kaya akan antioxidant dan terbuat dari bahan natural. Bubuk Hojicha sudah dicampur dengan cane sugar asli. Gampang disajikan, 20gram (1 1/2sendok) di campur dengan susu UHT/Segar/soy milk secuku Checkout mudah melalui marketplace resmi Homelab.",in stock,new,645900 IDR,https://www.homelab.co.id/shop/pouchs1kg-hojicha,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c7cb4c1f8ab84cf9883df522add365ca~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
PouchS1KG-PureHojicha,Hojicha Pure / Bubuk Hojicha Pure Asli Tanp.....,"Hojicha Pure / Bubuk Hojicha Pure Asli Tanp..... dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Bubuk Hojicha Pure tanpa Gula. Tanpa campuran, Asli Pure Hojicha! Tidak manis & Tanpa gula! Penyajian untuk minuman hanya perlu 5gram perserving, Untuk pembuatan kue tergantung resep. Aroma sangat kuat dan sangat harum! Cocok buat diminum langsung seduh dengan air panas & buat menu makanan / buat kue. Rasa sangat Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,1999000 IDR,https://www.homelab.co.id/shop/pouchs1kg-purehojicha,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/dbdef1d0f6a643b1add07ad858a0448a~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=933&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=933,Homelab
shopee-24201519494,Pure Hojicha / Bubuk Hojicha Murni Asli Tan.....,"Pure Hojicha / Bubuk Hojicha Murni Asli Tan..... dari Homelab cocok untuk menikmati teh Jepang, hojicha, dan minuman hangat yang lebih aromatic. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Produk ditemukan dari file media Shopee. Harga dan varian belum tersedia di file ini. Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,,https://www.homelab.co.id/shop/shopee-24201519494,https://cf.shopee.co.id/file/id-11134207-7r98o-lzkawkzxnap4b9,Homelab
TeaCanister-Merah,Matcha Ceramic Canister - Merah,"Matcha Ceramic Canister varian Merah dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Ceramic Canister / Wadah Bubuk Matcha Keramik Spesifikasi Produk: Matcha Ceramic Canister * Bahan: Terbuat dari keramik premium berkualitas tinggi, setiap canister diproduksi secara handmade. * Desain: Berpola mineral unik, sehingga setiap produk memiliki corak dan karakter tersendiri. * Kapasitas: Dides Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,85000 IDR,https://www.homelab.co.id/shop/teacanister-merah,https://cf.shopee.co.id/file/id-11134207-7rasa-m29dr56k7ri1c6,Homelab
TeaCanister-Kuning,Matcha Ceramic Canister - Kuning,"Matcha Ceramic Canister varian Kuning dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Ceramic Canister / Wadah Bubuk Matcha Keramik Spesifikasi Produk: Matcha Ceramic Canister * Bahan: Terbuat dari keramik premium berkualitas tinggi, setiap canister diproduksi secara handmade. * Desain: Berpola mineral unik, sehingga setiap produk memiliki corak dan karakter tersendiri. * Kapasitas: Dides Checkout mudah melalui marketplace resmi Homelab.",in stock,new,85000 IDR,https://www.homelab.co.id/shop/teacanister-kuning,https://cf.shopee.co.id/file/id-11134207-7rasa-m29dr56k7ri1c6,Homelab
TeaCanister-Hijau,Matcha Ceramic Canister - Hijau,"Matcha Ceramic Canister varian Hijau dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Ceramic Canister / Wadah Bubuk Matcha Keramik Spesifikasi Produk: Matcha Ceramic Canister * Bahan: Terbuat dari keramik premium berkualitas tinggi, setiap canister diproduksi secara handmade. * Desain: Berpola mineral unik, sehingga setiap produk memiliki corak dan karakter tersendiri. * Kapasitas: Dides Checkout mudah melalui marketplace resmi Homelab.",in stock,new,85000 IDR,https://www.homelab.co.id/shop/teacanister-hijau,https://cf.shopee.co.id/file/id-11134207-7rasa-m29dr56k7ri1c6,Homelab
TeaCanister-Biru,Matcha Ceramic Canister - Biru,"Matcha Ceramic Canister varian Biru dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Ceramic Canister / Wadah Bubuk Matcha Keramik Spesifikasi Produk: Matcha Ceramic Canister * Bahan: Terbuat dari keramik premium berkualitas tinggi, setiap canister diproduksi secara handmade. * Desain: Berpola mineral unik, sehingga setiap produk memiliki corak dan karakter tersendiri. * Kapasitas: Dides Checkout mudah melalui marketplace resmi Homelab.",in stock,new,85000 IDR,https://www.homelab.co.id/shop/teacanister-biru,https://cf.shopee.co.id/file/id-11134207-7rasa-m29dr56k7ri1c6,Homelab
TeaCanister-Cokelat,Matcha Ceramic Canister - Cokelat,"Matcha Ceramic Canister varian Cokelat dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Ceramic Canister / Wadah Bubuk Matcha Keramik Spesifikasi Produk: Matcha Ceramic Canister * Bahan: Terbuat dari keramik premium berkualitas tinggi, setiap canister diproduksi secara handmade. * Desain: Berpola mineral unik, sehingga setiap produk memiliki corak dan karakter tersendiri. * Kapasitas: Dides Checkout mudah melalui marketplace resmi Homelab.",in stock,new,85000 IDR,https://www.homelab.co.id/shop/teacanister-cokelat,https://cf.shopee.co.id/file/id-11134207-7rasa-m29dr56k7ri1c6,Homelab
ChasenStandWhiteSpout,Matcha Chasen / Whisk Stand Holder - Duduka... - whitespout,"Matcha Chasen / Whisk Stand Holder - Duduka... varian whitespout dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Chasen Stand adalah alat penting bagi pecinta teh Jepang yang ingin merawat dan menjaga bentuk chasen (pengocok bambu) mereka. Stand ini dirancang khusus untuk menahan chasen setelah digunakan, membantu menjaga bentuk Chasen agar tetap terbuka dan tidak rusak. Dengan bentuk yang elegan dan sederhana, chasen stand ini t Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,98890 IDR,https://www.homelab.co.id/shop/chasenstandwhitespout,https://cf.shopee.co.id/file/id-11134207-7r98r-lzkawkzxlw4of0,Homelab
ChasenStandSingleFlower,Matcha Chasen / Whisk Stand Holder - Duduka... - SingleFlower,"Matcha Chasen / Whisk Stand Holder - Duduka... varian SingleFlower dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Chasen Stand adalah alat penting bagi pecinta teh Jepang yang ingin merawat dan menjaga bentuk chasen (pengocok bambu) mereka. Stand ini dirancang khusus untuk menahan chasen setelah digunakan, membantu menjaga bentuk Chasen agar tetap terbuka dan tidak rusak. Dengan bentuk yang elegan dan sederhana, chasen stand ini t Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,98890 IDR,https://www.homelab.co.id/shop/chasenstandsingleflower,https://cf.shopee.co.id/file/id-11134207-7r98r-lzkawkzxlw4of0,Homelab
